2015\09,152,0,0,4,26,3,0,0,0,19
2015\10,332,0,3,4,51,8,0,0,0,21
2015\11,129,0,1,1,29,3,0,0,0,8
2015\12,82,0,0,0,14,0,0,0,0,25
2016\01,30,0,1,0,4,0,0,0,0,6
2016\02,886,0,0,2,124,29,0,0,0,88
2016\03,881,0,3,9,134,15,0,0,0,99
2016\04,438,0,0,18,87,9,0,0,0,31
2016\05,349,0,1,12,55,3,0,0,0,42
2016\06,348,0,0,14,42,7,0,0,0,23
2016\07,312,0,0,19,33,1,0,0,0,29
2016\08,209,0,0,14,25,0,0,0,0,24
2016\09,242,0,3,11,32,5,0,0,0,19
2016\10,261,0,2,11,25,8,0,0,0,24
2016\11,173,0,0,15,14,0,0,0,0,27
2016\12,169,0,0,11,19,0,0,0,0,13
2017\01,6,0,0,0,0,0,0,0,0,2
2017\02,1104,0,9,19,183,48,0,0,0,86
2017\03,635,0,0,21,89,17,0,0,0,52
2017\04,210,0,4,6,34,1,0,0,0,23
2017\05,204,0,4,1,31,0,0,0,0,20
2017\06,222,0,2,8,40,0,0,0,0,19
2017\07,190,0,2,0,43,2,0,0,0,2
2017\08,427,0,1,19,67,7,0,0,0,29
2017\09,222,0,3,0,55,4,0,0,0,10
2017\10,287,0,0,12,40,8,8,0,0,12
2017\11,143,0,0,15,19,0,0,0,0,12
2017\12,185,0,0,12,36,2,0,0,0,12
2018\01,26,0,0,1,4,0,0,0,0,1
2018\02,306,0,0,6,74,2,0,0,0,16
2018\03,751,0,0,15,197,10,0,0,0,43
2018\04,183,0,0,8,50,4,0,0,0,10
2018\05,384,0,0,8,104,3,0,0,0,18
2018\06,159,0,1,9,35,6,0,0,0,13
2018\07,166,0,0,7,21,6,0,0,0,12
2018\08,100,0,1,6,27,1,0,0,0,11
