2015\09,119,0,0,0,7,6,0,0,0,4
2015\10,100,0,2,1,5,8,0,0,0,7
2015\11,156,0,1,0,6,9,0,0,0,27
2015\12,42,0,1,0,3,4,0,0,0,4
2016\01,6,0,0,0,0,0,0,0,0,4
2016\02,72,0,0,0,10,1,0,0,0,20
2016\03,204,4,2,0,24,10,2,0,0,23
2016\04,117,0,0,0,22,4,0,0,0,23
2016\05,334,0,4,0,16,0,0,0,0,10
2016\06,59,1,2,1,11,0,0,0,0,2
2016\07,102,0,1,1,12,6,0,0,0,2
2016\08,50,0,0,0,1,6,2,0,0,1
2016\09,80,0,0,1,11,0,0,0,0,6
2016\10,302,0,4,0,10,27,4,1,0,2
2016\11,121,0,0,0,6,5,1,0,0,42
2016\12,69,0,0,0,0,8,0,0,0,24
2017\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017\02,269,0,5,0,11,13,0,0,0,50
2017\03,123,0,1,0,15,5,0,0,0,5
2017\04,49,0,0,0,6,6,0,0,0,0
2017\05,248,0,5,0,8,4,0,0,0,4
2017\06,76,0,0,2,8,0,0,0,0,1
2017\07,29,0,0,0,3,1,0,0,0,3
2017\08,141,0,0,0,19,14,1,0,0,5
2017\09,317,4,0,4,12,4,0,0,0,4
2017\10,392,0,0,0,17,35,18,2,0,1
2017\11,43,0,0,0,2,2,2,0,0,3
2017\12,50,0,3,0,13,0,1,0,0,3
2018\01,64,0,1,0,3,1,0,0,0,1
2018\02,80,0,0,1,5,4,1,0,0,0
2018\03,239,0,0,3,30,10,3,1,0,2
2018\04,71,0,0,3,11,0,0,0,0,7
2018\05,102,0,0,0,10,8,4,0,0,3
2018\06,157,0,0,2,19,2,4,0,0,7
2018\07,154,0,0,0,8,11,9,0,0,12
2018\08,161,0,2,4,13,2,4,0,0,4
