2015\09,11,0,0,0,5,0,0,0,0,2
2015\10,34,0,1,0,5,0,0,0,0,7
2015\11,95,0,5,1,10,0,0,0,0,6
2015\12,81,0,2,0,5,1,0,0,0,5
2016\01,50,0,2,0,2,0,0,0,0,0
2016\02,100,0,0,1,20,6,0,0,0,5
2016\03,199,0,2,0,37,6,0,0,0,7
2016\04,90,0,0,0,26,0,0,0,0,1
2016\05,44,0,0,0,17,3,0,0,0,0
2016\06,31,0,0,1,7,4,0,0,0,0
2016\07,51,0,0,1,11,2,0,0,0,1
2016\08,62,0,0,0,15,0,0,0,0,4
2016\09,86,0,0,0,27,2,0,0,0,0
2016\10,38,0,0,0,7,3,0,0,0,0
2016\11,9,0,0,0,2,0,0,0,0,1
2016\12,5,0,0,0,4,0,0,0,0,0
2017\01,10,0,0,2,2,0,0,0,0,0
2017\02,292,0,2,2,47,25,0,0,0,12
2017\03,234,0,2,3,39,22,0,0,0,17
2017\04,133,0,1,2,11,1,0,0,0,28
2017\05,143,0,0,2,3,6,0,0,0,35
2017\06,106,0,0,0,8,8,0,0,0,7
2017\07,376,0,1,1,40,4,0,0,0,18
2017\08,72,0,1,0,13,5,0,0,0,10
2017\09,21,0,0,0,8,1,0,0,0,0
2017\10,118,0,0,0,7,8,0,0,0,3
2017\11,42,0,1,0,4,0,0,0,0,1
2017\12,1,0,0,0,1,0,0,0,0,0
2018\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\02,71,0,0,0,15,2,0,0,0,6
2018\03,169,0,1,2,41,30,0,0,0,6
2018\04,84,0,0,0,12,2,0,0,0,4
2018\05,532,0,0,0,21,1,0,0,0,19
2018\06,484,0,7,0,15,0,0,0,0,17
2018\07,82,0,0,0,12,4,0,0,0,0
2018\08,21,0,1,0,6,0,0,0,0,1
