2015\09,4,0,0,0,0,2,0,0,0,0
2015\10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015\11,8,0,0,0,0,0,0,0,0,2
2015\12,16,0,0,0,4,0,0,0,0,1
2016\01,18,0,0,0,6,0,0,0,0,0
2016\02,23,0,0,0,4,5,0,0,0,2
2016\03,21,0,0,0,0,11,0,0,0,1
2016\04,10,0,0,0,0,2,0,0,0,8
2016\05,34,0,0,0,5,2,0,0,0,10
2016\06,6,0,0,0,0,0,0,0,0,5
2016\07,26,0,0,0,1,0,0,0,0,10
2016\08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016\09,16,0,0,0,1,4,0,0,0,6
2016\10,6,0,0,0,0,0,0,0,0,3
2016\11,10,0,0,0,0,0,0,0,0,5
2016\12,2,0,0,0,0,2,0,0,0,0
2017\01,3,0,0,0,0,1,0,0,0,1
2017\02,21,0,0,0,4,2,0,0,0,6
2017\03,24,0,0,0,2,0,0,0,0,10
2017\04,16,0,0,0,1,0,0,0,0,7
2017\05,21,0,0,0,2,0,0,0,0,7
2017\06,16,0,0,0,0,2,0,0,0,5
2017\07,12,0,0,0,0,2,0,0,0,4
2017\08,7,0,0,0,0,2,0,0,0,1
2017\09,8,0,0,0,0,0,0,0,0,4
2017\10,37,0,0,0,2,9,2,0,0,9
2017\11,8,0,0,0,0,0,0,0,0,4
2017\12,1,0,0,0,0,1,0,0,0,0
2018\01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018\02,4,0,0,0,2,0,0,0,0,0
2018\03,25,0,0,0,1,5,0,0,0,8
2018\04,14,0,0,0,0,7,0,0,0,0
2018\05,30,0,1,0,0,10,0,0,0,0
2018\06,43,0,0,0,2,7,0,0,0,0
2018\07,4,0,0,0,0,3,0,0,0,0
2018\08,3,0,0,0,2,1,0,0,0,0
