2015\09,271,2,13,2,7,2,0,0,0,63
2015\10,358,3,20,4,12,2,0,0,0,61
2015\11,301,10,7,8,11,0,0,0,0,48
2015\12,256,4,11,6,16,0,0,0,0,43
2016\01,40,0,1,0,7,1,0,0,0,11
2016\02,1994,10,47,24,93,5,0,0,0,161
2016\03,2412,20,47,26,113,3,0,0,0,119
2016\04,429,6,23,10,55,1,0,0,0,44
2016\05,303,2,24,12,19,1,0,0,0,30
2016\06,185,2,25,16,17,0,0,0,0,19
2016\07,258,3,22,8,21,0,0,0,0,19
2016\08,480,4,23,4,25,2,0,0,0,38
2016\09,334,8,8,5,41,6,0,0,0,30
2016\10,363,3,16,5,19,5,0,0,0,29
2016\11,162,1,11,4,15,1,0,0,0,17
2016\12,167,4,4,8,10,2,0,0,0,16
2017\01,5,0,0,2,1,0,0,0,0,0
2017\02,1309,25,63,62,91,8,0,0,0,178
2017\03,677,4,47,13,67,4,0,0,0,76
2017\04,305,3,21,3,18,0,0,0,0,32
2017\05,422,0,21,7,33,0,0,0,0,64
2017\06,295,4,36,10,28,0,0,0,0,30
2017\07,149,0,5,5,27,0,0,0,0,14
2017\08,562,16,19,12,27,2,0,0,0,28
2017\09,405,7,13,15,32,2,0,0,0,41
2017\10,224,8,15,10,13,11,0,0,0,24
2017\11,121,1,15,1,4,1,0,0,0,24
2017\12,119,0,14,7,10,0,0,0,0,14
2018\01,57,0,4,3,1,0,0,0,0,13
2018\02,535,5,33,14,21,2,0,0,0,65
2018\03,1752,11,78,57,95,7,0,0,0,156
2018\04,339,6,11,15,13,0,0,0,0,35
2018\05,1530,18,27,19,34,0,0,0,0,44
2018\06,326,24,40,6,12,0,0,0,0,33
2018\07,417,14,37,7,15,0,0,0,0,67
2018\08,451,16,27,4,12,1,0,0,0,96
