2015\09,705,3,8,14,143,10,0,0,0,118
2015\10,801,3,19,25,157,22,0,0,0,143
2015\11,851,1,6,17,127,5,0,0,0,90
2015\12,454,5,2,11,80,3,0,0,0,76
2016\01,122,0,2,0,31,6,0,0,0,11
2016\02,2020,0,49,31,466,33,0,0,0,242
2016\03,3275,2,46,79,716,54,0,0,0,339
2016\04,1443,0,22,28,300,39,0,0,0,143
2016\05,1236,2,24,16,240,27,0,0,0,138
2016\06,940,2,24,24,174,24,0,0,0,92
2016\07,915,0,17,32,128,20,0,0,0,122
2016\08,928,2,22,38,168,13,0,0,0,104
2016\09,604,0,14,16,160,23,0,0,0,59
2016\10,486,2,15,4,107,9,1,0,0,52
2016\11,364,0,4,10,67,14,0,0,0,58
2016\12,356,1,8,2,35,1,0,0,0,42
2017\01,32,0,0,0,3,1,0,0,0,6
2017\02,3505,6,58,61,678,44,0,0,0,387
2017\03,1971,1,40,22,348,20,0,0,0,217
2017\04,1082,0,19,16,146,16,0,0,0,77
2017\05,610,0,21,7,115,8,0,0,0,70
2017\06,811,0,9,10,139,29,0,0,0,65
2017\07,250,0,2,8,71,6,0,0,0,26
2017\08,548,1,11,8,159,26,0,0,0,66
2017\09,620,0,8,9,111,16,1,0,0,59
2017\10,446,0,18,5,93,34,3,0,0,41
2017\11,321,1,17,5,51,17,0,0,0,37
2017\12,231,0,16,3,31,12,0,0,0,35
2018\01,91,0,4,1,22,2,0,0,0,4
2018\02,535,0,15,2,162,19,0,0,0,51
2018\03,2456,2,56,26,614,52,0,0,0,195
2018\04,365,1,16,6,85,13,0,0,0,43
2018\05,928,1,7,18,182,10,0,0,0,79
2018\06,943,0,7,25,186,17,0,0,0,91
2018\07,531,2,7,20,130,13,1,0,0,41
2018\08,516,0,17,14,128,4,0,0,0,35
